	Time	Re
0	0.0	40.15303004716335
1	0.1	40.14924822873711
2	0.2	40.137904820046444
3	0.30000000000000004	40.119005959009705
4	0.4	40.092561869340486
5	0.5	40.058586851330325
6	0.6000000000000001	40.01709926896077
7	0.7000000000000001	39.96812153336102
8	0.8	39.911680082632145
9	0.9	39.84780535806311
10	1.0	39.776531776768785
11	1.1	39.69789770078414
12	1.2000000000000002	39.61194540265367
13	1.3	39.51872102755914
14	1.4000000000000001	39.418274552033225
15	1.5	39.310659739310616
16	1.6	39.195934091372685
17	1.7000000000000002	39.07415879774528
18	1.8	38.94539868111376
19	1.9000000000000001	38.80972213982269
20	2.0	38.66720108733177
21	2.1	38.517910888702914
22	2.2	38.361930294197
23	2.3000000000000003	38.19934137006224
24	2.4000000000000004	38.03022942659921
25	2.5	37.85468294359086
26	2.6	37.67279349318864
27	2.7	37.48465566034892
28	2.8000000000000003	37.29036696091619
29	2.9000000000000004	37.09002775745255
30	3.0	36.883741172914924
31	3.1	36.67161300228393
32	3.2	36.453751622250245
33	3.3000000000000003	36.23026789906634
34	3.4000000000000004	36.00127509467302
35	3.5	35.766888771211846
36	3.6	35.52722669403603
37	3.7	35.28240873333331
38	3.8000000000000003	35.03255676447578
39	3.9000000000000004	34.77779456721203
40	4.0	34.51824772381822
41	4.1000000000000005	34.25404351632472
42	4.2	33.98531082293572
43	4.3	33.71218001375911
44	4.4	33.4347828459642
45	4.5	33.15325235848451
46	4.6000000000000005	32.86772276638265
47	4.7	32.57832935499379
48	4.800000000000001	32.285208373963656
49	4.9	31.988496931295998
50	5.0	31.688332887523778
51	5.1000000000000005	31.38485475011695
52	5.2	31.07820156823862
53	5.300000000000001	30.768512827959846
54	5.4	30.45592834804183
55	5.5	30.140588176392455
56	5.6000000000000005	29.82263248730247
57	5.7	29.50220147956436
58	5.800000000000001	29.179435275575102
59	5.9	28.854473821521616
60	6.0	28.52745678874536
61	6.1000000000000005	28.198523476380174
62	6.2	27.867812715354813
63	6.300000000000001	27.53546277384882
64	6.4	27.201611264287912
65	6.5	26.866395051961838
66	6.6000000000000005	26.529950165344918
67	6.7	26.192411708196424
68	6.800000000000001	25.853913773514645
69	6.9	25.514589359415606
70	7.0	25.174570287003874
71	7.1000000000000005	24.833987120299707
72	7.2	24.492969088283463
73	7.300000000000001	24.15164400911466
74	7.4	23.810138216579745
75	7.5	23.46857648881911
76	7.6000000000000005	23.127081979380307
77	7.7	22.785776150641063
78	7.800000000000001	22.44477870964185
79	7.9	22.104207546364602
80	8.0	21.76417867449025
81	8.1	21.424806174664322
82	8.200000000000001	21.086202140296425
83	8.3	20.748476625915682
84	8.4	20.411737598100704
85	8.5	20.076090888999413
86	8.6	19.741640152450266
87	8.700000000000001	19.4084868227131
88	8.8	19.07673007581453
89	8.9	18.746466793509367
90	9.0	18.4177915298562
91	9.1	18.090796480402176
92	9.200000000000001	17.765571453968654
93	9.3	17.4422038470265
94	9.4	17.12077862064637
95	9.5	16.80137828000682
96	9.600000000000001	16.484082856439755
97	9.700000000000001	16.16896989199009
98	9.8	15.856114426463684
99	9.9	15.545588986934963
100	10.0	15.237463579683034
101	10.100000000000001	14.931805684522605
102	10.200000000000001	14.628680251493606
103	10.3	14.328149699871094
104	10.4	14.03027391945485
105	10.5	13.735110274095907
106	10.600000000000001	13.442713607415241
107	10.700000000000001	13.153136250667945
108	10.8	12.866428032704397
109	10.9	12.582636291978204
110	11.0	12.30180589054913
111	11.100000000000001	12.023979230027644
112	11.200000000000001	11.749196269406399
113	11.3	11.477494544722598
114	11.4	11.208909190494087
115	11.5	10.943472962870853
116	11.600000000000001	10.681216264442677
117	11.700000000000001	10.42216717064279
118	11.94	9.813685868540853
119	12.44	8.623487885131327
120	12.94	7.533594115126909
121	13.44	6.540092345394698
122	13.94	5.633644754385864
123	14.440000000000001	4.805679024646333
124	14.940000000000001	4.043706807574435
125	15.440000000000001	3.3349161356327848
126	15.940000000000001	2.6743842430185403
127	16.44	2.0547449610488764
128	17.44	0.9218597889978577
129	17.94	0.4351163827535922
130	18.44	0.00104174030882076
131	18.94	-0.38774802695578714
132	19.44	-0.7351261044053037
133	19.94	-1.042058401346046
134	20.44	-1.3164860067649307
135	20.94	-1.5633723268315063
136	21.44	-1.7817047141664422
137	21.94	-1.9716333450218197
138	22.44	-2.1388824936958315
139	22.94	-2.2729630064048902
140	23.44	-2.3761190057247683
141	23.94	-2.440273972582579
142	24.44	-2.4750174724059324
143	24.94	-2.480101430767311
144	25.44	-2.4652360544449836
145	25.94	-2.4328504873514505
146	26.44	-2.3905639024037297
147	26.94	-2.339942939201355
148	27.44	-2.280297875862036
149	27.94	-2.2126839712411432
150	28.44	-2.1256117279905187
151	28.94	-2.0224771701874014
152	29.44	-1.908933381269892
153	29.94	-1.7810724338456427
154	30.439999999999998	-1.6498837943937874
155	30.939999999999998	-1.515995029137059
156	31.439999999999998	-1.3867088654153608
157	31.939999999999998	-1.2584366899057602
158	32.44	-1.1416478637973233
159	32.94	-1.0260157063684323
160	33.44	-0.9164801505632639
161	33.94	-0.8155532434616879
162	34.44	-0.7187775963084317
163	34.94	-0.6249034495604819
164	35.44	-0.5399049894427665
165	35.94	-0.4636795008424406
166	36.44	-0.3884668553019759
167	36.94	-0.3245973992082254
168	37.44	-0.26378624893631075
169	37.94	-0.2054931304569827
170	38.44	-0.14865882661906782
171	38.94	-0.09327588469196768
172	39.44	-0.033938640480027926
173	39.94	0.015986444404535005
174	40.44	0.06333671638155547
175	40.94	0.10052407714784106
176	41.44	0.13160313460119966
