	Time	Re
0	0.0	30.625597909383963
1	0.5	30.574155372975184
2	1.0	30.42019083860774
3	1.5	30.16479115381874
4	2.0	29.809759807704754
5	2.5	29.35760504572391
6	3.0	28.811523230418853
7	3.5	28.175377448060495
8	4.0	27.453671361212628
9	4.5	26.6515183072174
10	5.0	25.774605642601585
11	5.5	24.829154333403718
12	6.0	23.82187379142207
13	6.5	22.759911956383448
14	7.0	21.650800624032847
15	7.5	20.502396020143937
16	8.0	19.32281462045038
17	8.5	18.120364216498007
18	9.0	16.90347022741779
19	9.5	15.680597257619732
20	10.44	13.394792951098728
21	10.94	12.203773272827974
22	11.44	11.03416173794836
23	11.94	9.892824407686806
24	12.44	8.792489498948907
25	12.94	7.740929450799539
26	13.44	6.747486658413836
27	13.94	5.814225396341312
28	14.440000000000001	4.943747120167712
29	14.940000000000001	4.134065168395187
30	15.440000000000001	3.381809003659983
31	15.940000000000001	2.687657974561355
32	16.44	2.0486948106416887
33	16.94	1.462732736518357
34	17.44	0.9270868724768482
35	17.94	0.4412983911639654
36	18.44	0.0048729845183237185
37	18.94	-0.3871176394347017
38	19.44	-0.7351261044053037
39	20.44	-1.3164860067649307
40	20.94	-1.5633723268315063
41	21.44	-1.7817047141664422
42	21.94	-1.9716333450218197
43	22.44	-2.1388824936958315
44	22.94	-2.2729630064048902
45	23.44	-2.3761190057247683
46	23.94	-2.440273972582579
47	24.44	-2.4750174724059324
48	24.94	-2.480101430767311
49	25.44	-2.4652360544449836
50	25.94	-2.4328504873514505
51	26.44	-2.3905639024037297
52	26.94	-2.339942939201355
53	27.44	-2.280297875862036
54	27.94	-2.2126839712411432
55	28.44	-2.1256117279905187
56	28.94	-2.0224771701874014
57	29.44	-1.908933381269892
58	29.94	-1.7810724338456427
59	30.439999999999998	-1.6498837943937874
60	30.939999999999998	-1.515995029137059
61	31.439999999999998	-1.3867088654153608
62	31.939999999999998	-1.2584366899057602
63	32.44	-1.1416478637973233
64	32.94	-1.0260157063684323
65	33.44	-0.9164801505632639
66	33.94	-0.8155532434616879
67	34.44	-0.7187775963084317
68	34.94	-0.6249034495604819
69	35.44	-0.5399049894427665
70	35.94	-0.4636795008424406
71	36.44	-0.3884668553019759
72	36.94	-0.3245973992082254
73	37.44	-0.26378624893631075
74	37.94	-0.2054931304569827
75	38.44	-0.14865882661906782
76	38.94	-0.09327588469196768
77	39.44	-0.033938640480027926
78	39.94	0.015986444404535005
79	40.44	0.06333671638155547
80	40.94	0.10052407714784106
81	41.44	0.13160313460119966
82	41.94	0.1564478509082341
83	42.44	0.1713460694271458
84	42.94	0.1882416801329556
85	43.44	0.20181827472302571
86	43.94	0.2175115490838866
87	44.44	0.23260626657606243
88	44.94	0.25012109854989184
89	45.44	0.26104458812927556
90	45.94	0.27314963162410266
91	46.44	0.27489929569893734
92	46.94	0.27929569801023924
93	47.44	0.27418674679869404
94	47.94	0.257151761510942
95	48.44	0.24351262238051286
96	48.94	0.2207415583646284
97	49.44	0.19843911701839145
98	49.94	0.17381946293725226
99	50.44	0.15430488963916855
100	50.94	0.1319100837953524
101	51.44	0.11495451733720041
102	51.94	0.09908617297230848
103	52.44	0.08440717941005493
104	52.94	0.07087499061447988
105	53.44	0.06379847786048232
106	53.94	0.06221619316054494
107	54.44	0.05473552699650308
108	54.94	0.05545996458879188
109	55.44	0.058034582963954806
110	55.94	0.0603838361476392
111	56.44	0.0639844078706826
112	56.94	0.05917269069061182
113	57.44	0.061324543098788764
114	57.94	0.062790466337316
115	58.44	0.06374108764885378
116	58.94	0.06330468060827021
117	59.44	0.0647760070899821
118	59.94	0.06913720533633594
119	60.44	0.069562492678088
120	60.94	0.07044535611460301
121	61.44	0.07298465769161822
122	61.94	0.07076551512114992
123	62.44	0.065256056630145
124	62.94	0.059964800830629716
125	63.44	0.05024381032662095
126	63.94	0.037088712111669864
127	64.44	0.024728968421467323
128	64.94	0.012847587339996691
129	65.44	0.004214589183331174
130	65.94	-0.001218382116193295
131	66.44	-0.0050660599949727825
132	66.94	-0.0030234413218819256
133	67.44	-0.00143658913301703
134	67.94	0.008163305668474008
135	68.44	0.021694560651033923
136	68.94	0.030057724366187033
137	69.44	0.04756416879967007
138	69.94	0.058440794377589866
139	70.44	0.06896405197147726
140	70.94	0.07404247660985108
141	71.44	0.07972421072727243
142	71.94	0.07588689067565302
143	72.44	0.08200170396263873
144	72.94	0.0784886467089857
145	73.44	0.07795564220978879
146	73.94	0.07288888210666089
147	74.44	0.06872903230763727
148	74.94	0.0611038476553416
149	75.44	0.05471142967471532
150	75.94	0.04618918758208079
151	76.44	0.038899233294723445
152	76.94	0.032759715484821594
153	77.44	0.02837251332582169
154	77.94	0.02324265246353907
155	78.44	0.020782614839226166
156	78.94	0.019832365862376244
157	79.44	0.02495966236023528
158	79.94	0.028708929281182627
159	80.44	0.03478036189698841
160	80.94	0.042745602985578834
161	81.44	0.04360068839654052
162	81.94	0.04681720647355059
163	82.44	0.04524632786544036
164	82.94	0.0394499574247954
165	83.44	0.03654217717341446
166	83.94	0.03440708750332344
167	84.44	0.032848088685682564
168	84.94	0.02843923240636248
169	85.44	0.023383909639174028
170	85.94	0.013080403970414989
171	86.44	-0.004843188693004485
172	86.94	-0.027814283727887523
173	87.44	-0.05053819980371366
